"movie_title","gross","budget","title_year","duration","genre","rating","expensive","IMDB_high"
"My Dog Skip",34.09964,5,2000,95,"Drama","PG","NO","YES"
"The Claim",0.403932,20,2000,115,"Drama","R","NO","NO"
"Michael Jordan to the Max",18.642318,44.870033081674,2000,46,"Documentary","Other","YES","YES"
"Aberdeen",0.064148,6.5,2000,106,"Drama","Other","NO","YES"
"Best in Show",18.621249,6,2000,90,"Comedy","PG-13","NO","YES"
"Pollock",8.596914,6,2000,122,"Biography","R","NO","YES"
"Memento",25.530884,9,2000,113,"Other","R","NO","YES"
"Billy Elliot",21.994911,5,2000,110,"Drama","R","NO","YES"
"Digimon: The Movie",9.628751,5,2000,82,"Action","PG","NO","NO"
"Requiem for a Dream",3.609278,4.5,2000,102,"Drama","R","NO","YES"
"Sexy Beast",6.940281,44.870033081674,2000,89,"Crime","R","YES","YES"
"3 Strikes",9.821335,6,2000,82,"Comedy","R","NO","NO"
"Psycho Beach Party",0.265107,1.5,2000,85,"Comedy","Other","NO","NO"
"An Everlasting Piece",0.075078,14,2000,103,"Comedy","R","NO","NO"
"The Original Kings of Comedy",38.168022,3,2000,115,"Comedy","R","NO","NO"
"Pokémon 3: The Movie",47.2337862180161,16,2000,93,"Action","G","NO","NO"
"Whipped",4.142507,3,2000,82,"Comedy","R","NO","NO"
"Anatomy",0.005725,8.4,2000,103,"Horror","R","NO","NO"
"Amores Perros",5.383834,2,2000,115,"Drama","R","NO","YES"
"Dinner Rush",0.11,44.870033081674,2000,99,"Crime","R","YES","YES"
"Hum To Mohabbat Karega",47.2337862180161,44.870033081674,2000,106.251612903226,"Action","Other","YES","NO"
"Songcatcher",3.050934,1.8,2000,109,"Drama","PG-13","NO","YES"
"Nine Queens",1.221261,1.5,2000,114,"Crime","R","NO","YES"
"You Can Count on Me",9.180275,1.2,2000,111,"Drama","R","NO","YES"
"The Broken Hearts Club: A Romantic Comedy",1.744858,1,2000,94,"Comedy","R","NO","YES"
"Fiza",0.610991,1,2000,167,"Drama","Other","NO","NO"
"Luminarias",0.428535,1,2000,100,"Comedy","R","NO","NO"
"Lisa Picard Is Famous",0.112521,44.870033081674,2000,90,"Comedy","PG-13","NO","NO"
"The Specials",0.012996,1,2000,82,"Action","R","NO","NO"
"The Young Unknowns",0.058163,44.870033081674,2000,87,"Drama","R","YES","NO"
"Mercy Streets",0.171988,0.6,2000,106,"Action","PG-13","NO","NO"
"Groove",1.114943,0.5,2000,86,"Drama","R","NO","NO"
"Everything Put Together",47.2337862180161,0.1,2000,87,"Drama","R","NO","NO"
"Chuck & Buck",1.0506,0.25,2000,96,"Comedy","R","NO","NO"
"Urbania",1.027119,0.225,2000,106,"Drama","R","NO","YES"
"Tadpole",2.882062,0.15,2000,78,"Comedy","PG-13","NO","NO"
"George Washington",0.241816,0.042,2000,90,"Drama","Other","NO","YES"
"The Circle",0.67378,0.01,2000,90,"Drama","Other","NO","YES"
"The Fast and the Furious",144.51231,38,2001,106,"Action","PG-13","NO","NO"
"Pearl Harbor",198.539855,140,2001,184,"Action","PG-13","YES","NO"
"Final Fantasy: The Spirits Within",32.13183,137,2001,106,"Action","PG-13","YES","NO"
"Harry Potter and the Sorcerer's Stone",317.557891,125,2001,159,"Adventure","PG","YES","YES"
"Monsters, Inc.",289.907418,115,2001,92,"Adventure","G","YES","YES"
"The Lord of the Rings: The Fellowship of the Ring",313.837577,93,2001,171,"Action","PG-13","YES","YES"
"Ali",58.183966,107,2001,165,"Biography","R","YES","NO"
"Town & Country",6.712451,90,2001,104,"Comedy","R","YES","NO"
"Planet of the Apes",180.01174,100,2001,119,"Action","PG-13","YES","NO"
"The Mummy Returns",202.00764,98,2001,130,"Action","PG-13","YES","NO"
"Black Hawk Down",108.638745,92,2001,152,"Drama","R","YES","YES"
"Lara Croft: Tomb Raider",131.144183,115,2001,100,"Action","PG-13","YES","NO"
"Jurassic Park III",181.166115,93,2001,92,"Action","PG-13","YES","NO"
"Rush Hour 2",226.138454,90,2001,90,"Action","PG-13","YES","NO"
"Atlantis: The Lost Empire",84.037039,120,2001,95,"Action","PG","YES","NO"
"A.I. Artificial Intelligence",78.616689,100,2001,146,"Adventure","PG-13","YES","YES"
"Spy Game",0.026871,92,2001,114,"Action","R","YES","YES"
"The Fast and the Furious",144.51231,38,2001,106,"Action","PG-13","NO","NO"
"Ocean's Eleven",183.405771,85,2001,116,"Crime","PG-13","YES","YES"
"Enemy at the Gates",51.396781,68,2001,131,"Drama","R","YES","YES"
"Swordfish",69.772969,80,2001,99,"Action","R","YES","NO"
"A Beautiful Mind",170.708996,58,2001,135,"Biography","PG-13","YES","YES"
"Bandits",41.523271,80,2001,123,"Comedy","PG-13","YES","NO"
"Monkeybone",5.409517,75,2001,93,"Animation","PG-13","YES","NO"
"Dr. Dolittle 2",112.950721,72,2001,87,"Comedy","PG","YES","NO"
"The Majestic",27.796042,72,2001,152,"Drama","PG","YES","NO"
"Driven",32.616869,72,2001,116,"Action","PG-13","YES","NO"
"Vanilla Sky",100.614858,68,2001,141,"Other","R","YES","NO"
"Osmosis Jones",13.596911,70,2001,95,"Action","PG","YES","NO"
"The Score",71.069884,68,2001,124,"Crime","R","YES","NO"
"3000 Miles to Graceland",15.738632,42,2001,125,"Action","R","YES","NO"
"Cats & Dogs",93.375151,60,2001,87,"Action","PG","YES","NO"
"The Last Castle",18.208078,60,2001,131,"Action","R","YES","NO"
"Captain Corelli's Mandolin",25.528495,57,2001,131,"Drama","R","YES","NO"
"Moulin Rouge!",57.386369,52.5,2001,127,"Drama","PG-13","NO","YES"
"Domestic Disturbance",45.207112,53,2001,89,"Crime","PG-13","YES","NO"
"Shrek",267.652016,60,2001,90,"Adventure","PG","YES","YES"
"Don't Say a Word",54.997476,50,2001,113,"Crime","R","YES","NO"
"The One",43.905746,49,2001,85,"Action","PG-13","NO","NO"
"Rat Race",56.607223,48,2001,112,"Adventure","PG-13","NO","NO"
"K-PAX",50.17319,48,2001,120,"Drama","PG-13","NO","YES"
"Kate & Leopold",47.095453,48,2001,123,"Comedy","PG-13","NO","NO"
"Riding in Cars with Boys",29.781453,48,2001,132,"Biography","PG-13","NO","NO"
"America's Sweethearts",93.607673,48,2001,102,"Comedy","PG-13","NO","NO"
"Training Day",76.261036,45,2001,122,"Crime","R","YES","YES"
"Scary Movie 2",71.27742,45,2001,83,"Comedy","R","YES","NO"
"From Hell",31.598308,35,2001,122,"Horror","R","NO","NO"
"The Pledge",19.71993,45,2001,124,"Crime","R","YES","NO"
"15 Minutes",24.375436,42,2001,120,"Action","R","YES","NO"
"A Knight's Tale",56.083966,65,2001,144,"Action","PG-13","YES","NO"
"Shallow Hal",70.836296,40,2001,114,"Comedy","PG-13","NO","NO"
"The Mexican",66.808615,34,2001,123,"Adventure","R","NO","NO"
"Behind Enemy Lines",59.068786,40,2001,106,"Action","PG-13","NO","NO"
"The Musketeer",27.053815,40,2001,104,"Action","PG-13","NO","NO"
"Sweet November",25.178165,40,2001,119,"Drama","PG-13","NO","NO"
"Amélie",33.201661,77,2001,122,"Comedy","R","YES","YES"
"Impostor",6.114237,40,2001,102,"Drama","R","NO","NO"
"Just Visiting",4.777007,40,2001,84,"Comedy","PG-13","NO","NO"
"The Fast and the Furious",144.51231,38,2001,106,"Action","PG-13","NO","NO"
"Heartbreakers",40.334024,35,2001,123,"Comedy","PG-13","NO","NO"
"Angel Eyes",24.044532,38,2001,102,"Drama","R","NO","NO"
"Joe Somebody",22.770864,38,2001,98,"Comedy","PG","NO","NO"
"Rock Star",16.991902,57,2001,105,"Drama","R","YES","NO"
"Texas Rangers",0.623374,38,2001,110,"Action","PG-13","NO","NO"
"Spy Kids",112.692062,35,2001,88,"Action","PG","NO","NO"
"Black Knight",33.422806,50,2001,95,"Adventure","PG-13","NO","NO"
"From Hell",31.598308,35,2001,122,"Horror","R","NO","NO"
"The Shipping News",11.405825,35,2001,111,"Drama","R","NO","NO"
"American Outlaws",13.264986,35,2001,94,"Action","PG-13","NO","NO"
"Exit Wounds",51.758599,33,2001,101,"Action","R","NO","NO"
"Hearts in Atlantis",24.185781,31,2001,101,"Drama","PG-13","NO","NO"
"American Pie 2",145.09682,30,2001,108,"Comedy","R","NO","NO"
"The Princess Diaries",108.244774,37,2001,111,"Comedy","G","NO","NO"
"Down to Earth",64.172251,30,2001,87,"Comedy","PG-13","NO","NO"
"Blow",52.93713,30,2001,124,"Biography","R","NO","YES"
"What's the Worst That Could Happen?",32.095318,45,2001,94,"Comedy","PG-13","NO","NO"
"Antitrust",10.965209,30,2001,109,"Action","PG-13","NO","NO"
"Along Came a Spider",74.058698,60,2001,104,"Crime","R","YES","NO"
"The Wedding Planner",60.400856,35,2001,103,"Comedy","PG-13","NO","NO"
"The Royal Tenenbaums",52.353636,21,2001,110,"Comedy","R","NO","YES"
"Serendipity",49.968653,28,2001,82,"Comedy","PG-13","NO","NO"
"Zoolander",45.162741,28,2001,90,"Comedy","PG-13","NO","NO"
"Winged Migration",10.762178,160,2001,81,"Documentary","G","YES","YES"
"Ghosts of Mars",8.434601,28,2001,98,"Action","R","NO","NO"
"Formula 51",5.204007,28,2001,93,"Action","R","NO","NO"
"Original Sin",16.252765,42,2001,118,"Drama","R","YES","NO"
"The Curse of the Jade Scorpion",7.496522,26,2001,103,"Comedy","PG-13","NO","NO"
"Jimmy Neutron: Boy Genius",80.920948,30,2001,82,"Action","G","NO","NO"
"Bridget Jones's Diary",71.500556,26,2001,97,"Comedy","R","NO","NO"
"Kiss of the Dragon",36.833473,25,2001,98,"Action","R","NO","NO"
"Crocodile Dundee in Los Angeles",25.590119,21.15,2001,92,"Adventure","PG","NO","NO"
"Say It Isn't So",5.516708,25,2001,95,"Comedy","R","NO","NO"
"Double Take",0.020218,24,2001,88,"Action","PG-13","NO","NO"
"Someone Like You...",27.338033,23,2001,97,"Comedy","PG-13","NO","NO"
"Joy Ride",21.973182,23,2001,97,"Other","R","NO","NO"
"The Animal",55.762229,22,2001,84,"Comedy","PG-13","NO","NO"
"I Am Sam",40.270895,22,2001,132,"Drama","PG-13","NO","YES"
"Saving Silverman",19.351569,22,2001,96,"Comedy","PG-13","NO","NO"
"Jay and Silent Bob Strike Back",30.059386,22,2001,104,"Comedy","R","NO","NO"
"The Glass House",17.951431,30,2001,106,"Crime","PG-13","NO","NO"
"Josie and the Pussycats",14.25283,22,2001,98,"Comedy","PG-13","NO","NO"
"Megiddo: The Omega Code 2",5.974653,22,2001,104,"Action","PG-13","NO","NO"
"Hardball",40.219708,21,2001,106,"Drama","PG-13","NO","NO"
"Thir13en Ghosts",41.86796,20,2001,91,"Horror","R","NO","NO"
"Spirited Away",10.049886,19,2001,125,"Adventure","PG","NO","YES"
"Legally Blonde",95.001351,18,2001,96,"Comedy","PG-13","NO","NO"
"Gosford Park",41.300105,19.8,2001,131,"Drama","R","NO","YES"
"Life as a House",15.561627,18,2001,125,"Drama","R","NO","YES"
"The Tailor of Panama",13.491653,18,2001,109,"Drama","R","NO","NO"
"The Others",96.471845,17,2001,101,"Other","PG-13","NO","YES"
"Summer Catch",19.693891,34,2001,108,"Comedy","PG-13","NO","NO"
"See Spot Run",33.357476,35,2001,94,"Action","PG","NO","NO"
"Baby Boy",28.734552,16,2001,130,"Crime","R","NO","NO"
"Joe Dirt",27.087695,17.7,2001,91,"Adventure","PG-13","NO","NO"
"Madison",0.508867,44.870033081674,2001,94,"Drama","PG","NO","NO"
"Wasabi",0.081525,15.3,2001,94,"Action","R","NO","NO"
"Not Another Teen Movie",37.882551,16,2001,99,"Comedy","R","NO","NO"
"Freddy Got Fingered",14.249005,15,2001,87,"Comedy","R","NO","NO"
"Knockaround Guys",11.63242,44.870033081674,2001,92,"Crime","R","YES","NO"
"Mulholland Drive",7.219578,15,2001,147,"Drama","R","NO","YES"
"Buffalo Soldiers",0.353743,15,2001,98,"Comedy","R","NO","NO"
"All the Queen's Men",0.022723,25,2001,105,"Action","PG-13","NO","NO"
"Jason X",12.610731,11,2001,85,"Action","R","NO","NO"
"Head Over Heels",10.397365,14,2001,86,"Comedy","PG-13","NO","NO"
"Soul Survivors",3.10065,14,2001,84,"Drama","PG-13","NO","NO"
"The Caveman's Valentine",0.687081,44.870033081674,2001,105,"Crime","R","YES","NO"
"Save the Last Dance",91.038276,13,2001,112,"Drama","PG-13","NO","NO"
"Two Can Play That Game",22.235901,6,2001,90,"Comedy","R","NO","NO"
"Crazy/Beautiful",16.929123,14,2001,135,"Drama","PG-13","NO","NO"
"Bubble Boy",5.00231,13,2001,84,"Adventure","PG-13","NO","NO"
"Birthday Girl",4.919896,13,2001,93,"Comedy","R","NO","NO"
"How High",31.155435,12,2001,93,"Comedy","R","NO","NO"
"Max Keeble's Big Move",17.292381,12,2001,91,"Comedy","PG","NO","NO"
"Last Orders",2.326407,12,2001,109,"Drama","R","NO","YES"
"Corky Romano",23.978402,11,2001,86,"Comedy","PG-13","NO","NO"
"Out Cold",13.903262,11,2001,89,"Comedy","PG-13","NO","NO"
"Tomcats",13.558739,11,2001,95,"Comedy","R","NO","NO"
"Frailty",13.103828,11,2001,100,"Crime","R","NO","YES"
"O",16.017403,5,2001,95,"Drama","R","NO","NO"
"Jeepers Creepers",37.470017,10,2001,90,"Horror","R","NO","NO"
"Recess: School's Out",36.696761,23,2001,82,"Animation","G","NO","NO"
"Valentine",20.384136,10,2001,96,"Horror","R","NO","NO"
"Get Over It",11.560259,22,2001,87,"Comedy","PG-13","NO","NO"
"On the Line",4.356743,16,2001,85,"Comedy","PG","NO","NO"
"Shaolin Soccer",0.488872,10,2001,85,"Action","PG","NO","YES"
"High Heels and Low Lifes",0.226792,10,2001,86,"Action","R","NO","NO"
"The Legend of Suriyothai",0.454255,400,2001,300,"Action","R","YES","NO"
"Glitter",4.273372,22,2001,104,"Drama","PG-13","NO","NO"
"Alias Betty",0.2064,50,2001,103,"Comedy","Other","YES","NO"
"The Other Side of Heaven",4.720371,7,2001,113,"Adventure","PG","NO","NO"
"Nowhere in Africa",6.173485,7,2001,141,"Biography","R","NO","YES"
"The Brothers",27.457409,6,2001,106,"Comedy","R","NO","NO"
"Hedwig and the Angry Inch",3.029081,6,2001,95,"Comedy","R","NO","YES"
"Novocaine",2.025238,6,2001,95,"Comedy","R","NO","NO"
"The Business of Strangers",1.028337,44.870033081674,2001,84,"Drama","R","YES","NO"
"Lucky Break",0.054606,6,2001,107,"Comedy","PG-13","NO","NO"
"Ghost World",6.200756,7,2001,111,"Comedy","R","NO","YES"
"Iris",1.292119,5.5,2001,91,"Biography","R","NO","YES"
"Harvard Man",0.056007,5.5,2001,99,"Comedy","R","NO","NO"
"O",16.017403,5,2001,95,"Drama","R","NO","NO"
"Y Tu Mamá También",13.622333,2,2001,106,"Adventure","R","NO","YES"
"The Forsaken",6.755271,5,2001,90,"Horror","R","NO","NO"
"Made",5.308707,5,2001,95,"Comedy","R","NO","NO"
"Donnie Darko",0.727883,4.5,2001,133,"Drama","R","NO","YES"
"Mean Machine",0.092191,2.5,2001,99,"Comedy","R","NO","NO"
"Monster's Ball",31.252964,4,2001,112,"Drama","R","NO","YES"
"Planet of the Apes",180.01174,100,2001,119,"Action","PG-13","YES","NO"
"The Wash",10.097096,4,2001,93,"Comedy","R","NO","NO"
"Pootie Tang",3.293258,3,2001,81,"Action","PG-13","NO","NO"
"Thirteen Conversations About One Thing",3.287435,4.5,2001,104,"Drama","R","NO","YES"
"Bully",0.510092,44.870033081674,2001,115,"Biography","R","YES","YES"
"Elling",0.313436,15.5,2001,89,"Comedy","R","NO","YES"
"In the Bedroom",35.918429,1.7,2001,138,"Crime","R","NO","YES"
"Kissing Jessica Stein",7.02294,1,2001,97,"Comedy","R","NO","NO"
"The Believer",0.406035,1.5,2001,98,"Drama","R","NO","YES"
"Session 9",0.373967,1.5,2001,100,"Horror","R","NO","NO"
"Super Troopers",18.488314,1.2,2001,100,"Comedy","R","NO","YES"
"Monsoon Wedding",13.876974,7,2001,114,"Comedy","R","NO","YES"
"Down and Out with the Dolls",0.058936,1.2,2001,88,"Comedy","R","NO","NO"
"Brigham City",0.798341,1,2001,119,"Crime","PG-13","NO","YES"
"The Jimmy Show",0.000703,1.5,2001,96,"Comedy","R","NO","NO"
"L.I.E.",1.141829,0.7,2001,97,"Crime","Other","NO","YES"
"Never Again",0.295468,0.5,2001,98,"Comedy","R","NO","NO"
"Dogtown and Z-Boys",1.293295,44.870033081674,2001,91,"Documentary","PG-13","NO","YES"
"Ayurveda: Art of Being",0.016892,0.3,2001,102,"Documentary","Other","NO","YES"
"Lovely & Amazing",4.186931,0.25,2001,91,"Comedy","R","NO","NO"
"American Desi",0.902835,0.25,2001,100,"Comedy","Other","NO","NO"
"The Lost Skeleton of Cadavra",0.110536,0.04,2001,90,"Comedy","PG","NO","YES"
"Die Another Day",160.201106,142,2002,133,"Action","PG-13","YES","NO"
"Men in Black II",190.418803,140,2002,88,"Action","PG-13","YES","NO"
"Spider-Man",403.706375,139,2002,121,"Action","PG-13","YES","YES"
"Stuart Little 2",64.736114,120,2002,77,"Adventure","PG","YES","NO"
"Star Wars: Episode II - Attack of the Clones",310.675583,115,2002,142,"Action","PG","YES","NO"
"Windtalkers",40.91183,115,2002,153,"Action","R","YES","NO"
"Minority Report",132.014112,102,2002,145,"Action","PG-13","YES","YES"
"Harry Potter and the Chamber of Secrets",261.970615,100,2002,174,"Adventure","PG","YES","YES"
"Treasure Planet",38.120554,140,2002,95,"Adventure","PG","YES","YES"
"The Adventures of Pluto Nash",4.411102,100,2002,95,"Action","PG-13","YES","NO"
"Gangs of New York",77.679638,100,2002,216,"Crime","R","YES","YES"
"The Lord of the Rings: The Two Towers",340.478898,94,2002,172,"Action","PG-13","YES","YES"
"K-19: The Widowmaker",35.168677,100,2002,138,"Drama","PG-13","YES","NO"
"Collateral Damage",40.048332,85,2002,108,"Action","R","YES","NO"
"Scooby-Doo",153.288182,84,2002,86,"Adventure","PG","YES","NO"
